country,Year,GDP.per.capita.PPP.current.international,polity2
Fiji,2001,3612.640927,5
Fiji,2002,3763.968162,5
Fiji,2003,3859.171044,5
Fiji,2004,4153.026602,6
Fiji,2005,4294.621354,6
Fiji,2006,4489.905611,-3
Fiji,2007,4572.506917,-4
Fiji,2008,4652.153491,-4
Fiji,2009,4526.175846,-4
Fiji,2010,NA,NA
"Micronesia, Fed. Sts.",2000,2622.372086,NA
"Micronesia, Fed. Sts.",2001,2705.068814,NA
"Micronesia, Fed. Sts.",2002,2779.770109,NA
"Micronesia, Fed. Sts.",2003,2842.626408,NA
"Micronesia, Fed. Sts.",2004,2799.433898,NA
"Micronesia, Fed. Sts.",2005,2971.878073,NA
"Micronesia, Fed. Sts.",2006,3051.925044,NA
"Micronesia, Fed. Sts.",2007,3147.519998,NA
"Micronesia, Fed. Sts.",2008,3115.362096,NA
"Micronesia, Fed. Sts.",2009,3087.949419,NA
"Micronesia, Fed. Sts.",2010,NA,NA
Gabon,2000,11763.32736,-4
Gabon,2001,12013.03746,-4
Gabon,2002,11915.9225,-4
Gabon,2003,12217.91811,-4
Gabon,2004,12480.08718,-4
Gabon,2005,13028.52135,-4
Gabon,2006,13353.85591,-4
Gabon,2007,14309.11542,-4
Gabon,2008,14689.4779,-4
Gabon,2009,14419.22504,3
Gabon,2010,NA,NA
"Gambia, The",2000,963.8821885,-5
"Gambia, The",2001,1008.285985,-5
"Gambia, The",2002,959.3944837,-5
"Gambia, The",2003,1014.630405,-5
"Gambia, The",2004,1083.066356,-5
"Gambia, The",2005,1141.77737,-5
"Gambia, The",2006,1220.353223,-5
"Gambia, The",2007,1304.686136,-5
"Gambia, The",2008,1376.456865,-5
"Gambia, The",2009,1414.604541,-5
"Gambia, The",2010,NA,NA
Ghana,2000,927.9663518,2
Ghana,2001,963.7757021,6
Ghana,2002,999.7265601,6
Ghana,2003,1049.788825,6
Ghana,2004,1114.435109,8
Ghana,2005,1192.835802,8
Ghana,2006,1282.475165,8
Ghana,2007,1382.615075,8
Ghana,2008,1500.462273,8
Ghana,2009,1552.396914,8
Ghana,2010,NA,NA
Guinea-Bissau,2000,996.1363143,5
Guinea-Bissau,2001,996.6859683,5
Guinea-Bissau,2002,918.0797413,5
Guinea-Bissau,2003,888.0291529,-1
Guinea-Bissau,2004,918.3748348,-1
Guinea-Bissau,2005,973.3247382,6
Guinea-Bissau,2006,1003.999117,6
Guinea-Bissau,2007,1018.623956,6
Guinea-Bissau,2008,1053.675472,6
Guinea-Bissau,2009,1071.166508,6
Guinea-Bissau,2010,NA,NA
Georgia,2000,2174.023021,5
Georgia,2001,2359.429165,5
Georgia,2002,2560.177433,5
Georgia,2003,2950.519166,5
Georgia,2004,3219.720886,7
Georgia,2005,3610.482861,7
Georgia,2006,4043.780854,7
Georgia,2007,4708.896307,6
Georgia,2008,4928.409112,6
Georgia,2009,4774.110866,6
Georgia,2010,NA,NA
Grenada,2000,6426.971841,NA
